generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid
0.632706,4808.456421,0.293771,10.066179,79.413023,29.796885,7.998676,0.949734,92.947057,1.674202,2.094642,21.771397,0.049697,0.086833,0.145041,18.530,0.162403,556.49,75.87,118.7,0.014899,0.985101,0,1
0.188703,7360.709090,0.242489,20.088062,70.178842,24.593191,8.013634,0.920095,66.883631,1.420069,2.100639,34.377782,0.030419,0.047410,0.060969,16.006,0.065289,700.24,40.13,115.1,0.009442,0.990558,0,1
0.304473,2730.568486,0.285348,10.804319,50.582232,18.511557,7.374698,0.853795,91.684366,1.537971,1.415433,24.843743,0.023176,0.024088,0.038223,18.753,0.039107,526.62,18.92,106.9,0.011885,0.988115,0,1
0.530545,6465.165875,0.126846,10.194826,56.829549,39.046021,7.612984,0.756050,106.233153,1.338435,1.827759,31.660256,0.067521,0.124229,0.169759,23.598,0.197779,541.50,86.41,91.6,0.015335,0.984665,0,1
0.618018,5034.698884,0.109830,21.305734,56.692861,29.986191,7.720887,0.742719,87.071457,1.463059,1.923616,23.083049,0.018504,0.006038,0.071091,1.884,0.075300,61.74,4.13,95.2,0.014274,0.985726,1,1
0.684527,6790.653751,0.237089,22.631423,53.761220,47.151679,8.008238,0.710671,108.974009,1.311859,2.222977,19.887071,0.028898,0.012120,0.087817,2.972,0.095188,96.00,7.92,89.4,0.011901,0.988099,1,1
0.290824,5347.616301,0.202769,14.110474,71.312029,20.536819,8.111469,0.659961,43.598247,1.372626,1.860113,27.893546,0.040714,0.073797,0.093620,15.413,0.105288,509.15,44.81,83.0,0.009171,0.990829,0,1
0.696452,2999.523549,0.243722,20.564384,59.090465,45.668520,8.423126,0.713885,48.890103,1.430536,1.378367,34.900004,0.039252,0.073136,0.112180,12.473,0.127283,455.52,48.03,89.6,0.011570,0.988430,0,1
0.238585,6356.001158,0.081709,14.565697,61.193037,42.187120,7.437157,0.806437,47.622214,1.523191,1.945005,31.518400,0.034173,0.052556,0.079770,17.584,0.088297,520.01,38.99,101.0,0.009244,0.990756,0,1
0.703593,3128.872766,0.098179,18.619606,80.483024,30.558468,8.363728,0.845134,88.685078,1.697858,2.344286,37.659644,0.040983,0.074074,0.099991,15.302,0.110383,612.76,57.59,105.5,0.013342,0.986658,0,1
0.364452,2618.327367,0.303290,22.512811,72.717852,22.394642,8.280088,0.749365,97.182600,1.391703,2.359875,24.369175,0.012288,0.013348,0.028856,9.145,0.028987,339.27,9.20,95.7,0.015084,0.984916,0,1
0.625691,6983.498408,0.251744,10.073036,55.456586,27.661995,8.125644,0.695592,90.620232,1.645929,2.300762,40.574102,0.056854,0.104387,0.247211,13.120,0.300883,287.47,66.80,87.4,0.016980,0.983020,0,1
0.589455,6877.127228,0.229019,11.577139,70.897900,33.531495,7.954752,0.791425,101.235901,1.365502,1.442185,36.482234,0.219530,0.155103,0.223403,17.642,0.281769,537.78,112.93,99.2,0.014973,0.985027,1,1
0.628843,2937.133121,0.149320,17.523996,77.220052,45.758661,8.339858,0.780583,105.228163,1.406378,1.918773,29.424813,0.025017,0.037726,0.086076,11.735,0.084876,334.84,27.09,97.9,0.017189,0.982811,0,1
0.313285,5780.965963,0.362790,10.985655,68.151988,36.777717,7.598556,0.664114,61.870767,1.582040,1.456704,29.816361,0.036840,0.062089,0.105745,14.985,0.118474,381.64,37.94,83.5,0.011772,0.988228,0,1
0.596127,5373.264679,0.326118,13.541053,55.941346,25.538467,7.456768,0.923911,109.037082,1.543101,2.324382,38.486902,0.087455,0.044134,0.087629,16.275,0.094034,455.42,37.51,110.8,0.015050,0.984950,1,1
0.659064,6112.277079,0.363753,18.772969,53.097697,40.442194,8.392201,0.864694,68.960336,1.576458,1.996858,32.384126,0.046915,0.088351,0.164589,12.331,0.196539,454.29,70.28,108.2,0.011910,0.988090,0,1
0.416276,4369.007397,0.271318,18.166699,78.020534,35.978422,8.215156,0.918398,85.490753,1.321512,1.511465,41.139303,0.040662,0.069165,0.084089,18.306,0.091851,739.33,58.44,116.3,0.013819,0.986181,0,1
0.555647,2757.781584,0.333209,21.983809,60.629912,44.580810,7.639108,0.821436,106.675104,1.682177,1.776942,38.311742,0.008132,0.008085,0.037196,5.332,0.037795,174.74,6.11,104.1,0.014860,0.985140,0,1
0.562184,3800.125911,0.356852,18.371953,80.391597,31.709549,8.204594,0.817796,75.721137,1.304931,1.540094,26.927614,0.023336,0.036930,0.080351,9.925,0.086597,367.87,27.79,102.4,0.011906,0.988094,0,1
0.414893,6693.168591,0.108284,17.649122,62.799216,34.524374,7.615470,0.763704,76.414467,1.276726,2.203623,18.822270,0.021096,0.030416,0.073977,10.405,0.078260,307.32,21.37,95.8,0.004775,0.995225,0,1
0.653014,2453.242823,0.119764,22.082168,72.826854,20.275977,8.333727,0.681396,73.742098,1.354451,1.735088,21.840580,0.025843,0.044423,0.071184,10.352,0.075379,416.18,27.85,85.6,0.009450,0.990550,0,1
0.641526,7489.424732,0.379554,14.940187,70.146167,39.796647,7.694040,0.931510,109.690167,1.666181,2.239067,21.156681,0.050090,0.089497,0.151116,17.329,0.171695,539.94,76.70,114.1,0.014933,0.985067,0,1
0.417845,4040.113686,0.083307,16.344322,66.185598,34.366897,7.553594,0.878407,45.128922,1.270989,1.732969,28.279130,0.036485,0.060456,0.085098,16.583,0.095294,610.77,48.86,109.9,0.009201,0.990799,0,1
0.441890,5149.403731,0.254351,11.304315,55.158580,30.740500,8.356210,0.746711,78.220007,1.557850,1.684064,19.978463,0.067890,0.129279,0.143904,23.255,0.166768,656.55,88.81,93.0,0.009038,0.990962,0,1
0.240319,7126.537197,0.154336,10.494258,56.136368,31.182337,8.043848,0.887168,94.987804,1.697467,2.375506,37.460468,0.049050,0.078089,0.094439,25.000,0.112464,717.96,63.74,99.4,0.014806,0.985194,0,1
0.335869,6396.271838,0.282736,23.443932,70.592646,47.710353,7.484782,0.748319,95.332628,1.743573,1.908303,36.799409,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,101.3,0.016649,0.983351,0,1
0.315999,3078.616068,0.408497,13.804752,54.759571,39.917612,8.253384,0.826335,59.559193,1.633056,1.937538,26.372657,0.020099,0.023718,0.048224,13.863,0.053076,397.76,18.03,103.5,0.011571,0.988429,0,1
0.719557,2918.673001,0.416461,13.156526,81.694949,40.822978,7.895270,0.702778,108.380919,1.417726,1.973270,30.444448,0.014623,0.017580,0.088755,6.953,0.079863,136.24,11.37,88.2,0.016909,0.983091,0,1
0.357595,7163.174824,0.258310,10.487482,69.244590,43.725823,8.415991,0.901208,54.250568,1.268504,1.564500,19.474878,0.079755,0.154644,0.166432,25.000,0.247826,819.56,128.22,108.4,0.009327,0.990673,0,1
0.533856,3658.614842,0.291538,12.481745,62.548897,34.027659,7.531565,0.938567,53.054576,1.367644,2.211645,22.576117,0.053130,0.089291,0.102582,24.835,0.115804,799.57,77.10,110.2,0.009324,0.990676,0,1
0.506059,6675.377506,0.448613,21.445697,53.447053,21.246496,7.893156,0.640733,107.667819,1.600750,2.272394,19.691784,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,87.5,0.014317,0.985683,0,1
0.253161,3058.618024,0.180918,13.896574,67.497944,42.580970,7.806681,0.658678,57.582327,1.619313,1.556064,20.079702,0.011519,0.013369,0.048509,6.815,0.050755,177.67,8.10,82.8,0.011708,0.988292,0,1
0.667969,3748.691745,0.345761,21.543415,51.365769,45.076556,7.862823,0.784253,84.361457,1.624782,1.915355,36.311923,0.018340,0.027515,0.086067,7.150,0.092499,245.39,19.85,102.8,0.016646,0.983354,0,1
0.476875,4443.398041,0.194678,12.880685,81.243912,20.028822,7.443199,0.912520,72.870248,1.746194,2.394304,25.428756,0.015910,0.020948,0.075572,7.597,0.081757,247.56,17.59,114.1,0.011890,0.988110,0,1
0.281570,4265.795771,0.270162,10.270689,68.742031,32.090491,7.389431,0.857747,81.778773,1.308251,1.489218,41.684445,0.027888,0.036839,0.062944,17.548,0.067744,491.33,29.07,107.4,0.011684,0.988316,0,1
0.612192,6405.088413,0.222400,19.522961,64.311541,22.083730,8.035922,0.639438,68.603567,1.652794,1.384402,23.346201,0.035326,0.065808,0.184841,5.686,0.224095,222.81,38.71,80.4,0.011841,0.988159,0,1
0.192788,4993.774895,0.447085,23.601729,81.942558,41.780628,7.784909,0.759560,55.073748,1.531640,1.690304,41.477908,0.008470,0.009901,0.037353,4.874,0.039121,197.05,6.92,95.3,0.009344,0.990656,0,1
0.432240,3422.917563,0.094148,11.756942,81.193016,19.370712,7.580504,0.890958,88.407357,1.305570,2.213178,27.060260,0.016476,0.019925,0.056927,10.103,0.059697,305.21,16.33,111.5,0.014491,0.985509,0,1
0.204380,5860.569754,0.163894,19.724481,54.139733,43.582147,7.605896,0.680740,52.284394,1.678533,2.161686,34.286431,0.004261,0.003424,0.032536,2.390,0.034128,70.12,2.14,85.5,0.011638,0.988362,0,1
0.688114,7553.553234,0.304908,13.718556,77.410724,32.785194,7.819230,0.718588,77.284703,1.266702,1.799606,36.686346,0.087297,0.185680,0.256124,14.733,0.344600,509.86,122.75,90.2,0.009464,0.990536,0,1
0.465231,7022.679258,0.286256,18.027494,76.785727,45.271304,7.728314,0.633254,65.254300,1.398615,1.582175,30.005572,0.016956,0.024005,0.143616,3.162,0.165715,103.59,13.99,79.7,0.014173,0.985827,0,1
0.393966,5959.642189,0.165717,17.777967,81.460004,34.718837,8.197933,0.705765,107.132287,1.518704,1.954300,30.871598,0.097291,0.060037,0.099075,12.526,0.106918,418.57,38.98,93.3,0.012395,0.987605,1,1
0.433972,4471.733495,0.400593,17.151019,57.634567,21.628840,7.964755,0.843607,96.380254,1.485546,1.572823,26.821249,0.036411,0.060899,0.082076,16.525,0.087909,612.62,47.26,109.5,0.013677,0.986323,0,1
0.490264,2583.232000,0.214916,15.831629,77.754533,46.622468,8.436757,0.909742,94.623285,1.641051,1.588796,24.064634,0.027648,0.038219,0.064901,16.466,0.066320,524.34,31.99,113.8,0.014631,0.985369,0,1
0.492850,5807.400403,0.399673,14.197788,71.611848,39.705534,8.311422,0.894131,91.272085,1.593689,2.317571,39.046255,0.048966,0.086150,0.124161,19.147,0.138114,607.20,70.87,111.9,0.014551,0.985449,0,1
0.708826,4437.689160,0.441389,20.346093,52.589970,25.157121,8.185479,0.769651,66.032292,1.331018,2.365062,32.458423,0.045038,0.087011,0.128410,12.761,0.146887,510.42,61.61,96.5,0.009461,0.990539,0,1
0.670518,7075.202904,0.238104,15.178218,78.408209,43.885905,7.351415,0.631213,51.891012,1.560064,1.705362,34.585284,0.028422,0.046223,0.195210,4.806,0.243834,146.28,26.84,79.4,0.009305,0.990695,0,1
0.691511,7288.114002,0.309481,13.341716,55.693105,19.531101,7.621683,0.726757,101.087577,1.616852,2.153299,31.845159,0.121806,0.077292,0.174521,11.214,0.203129,315.02,51.68,90.3,0.015041,0.984959,1,1
0.685571,2371.238082,0.390564,18.400538,63.136416,24.422757,7.850923,0.925896,75.150814,1.731963,2.371153,20.412005,0.019021,0.025370,0.055292,11.117,0.057952,415.80,21.61,115.8,0.011921,0.988079,0,1
0.195327,2367.558604,0.264777,14.242029,59.195744,21.983713,8.149284,0.871859,56.964065,1.735324,1.477225,33.019873,0.013305,0.011464,0.022925,11.881,0.023853,426.70,9.20,109.1,0.014043,0.985957,0,1
0.275991,4909.049750,0.195917,12.776558,68.299354,43.972478,7.973003,0.915394,79.391153,1.299646,1.424539,36.970290,0.049773,0.080852,0.087439,25.000,0.109046,828.43,68.09,114.0,0.006949,0.993051,0,1
0.525409,2653.516984,0.435017,22.424588,57.845917,22.681092,8.304911,0.820245,98.422556,1.613677,2.003234,23.592795,0.022633,0.033344,0.052879,12.457,0.054465,506.21,25.16,106.1,0.013791,0.986209,0,1
