generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,ignition_ms,compression_ratio,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.489306,7655.136785,0.353236,14.055370,58.907438,43.755483,0.860187,1.159701,0.828536,8.033268,0.672053,51.645549,1.657600,1.777660,31.475011,4.500000,12.500000,0.364862,0.259489,0.391028,14.005,1.385441,155.51,160.44,84.5,0.013957,0.986043,1,1,0.950000,0.140644,0.040071
0.341097,5029.434952,0.378930,22.783511,51.082952,48.198421,0.801235,1.216272,0.327752,8.520771,0.755343,49.451422,1.496741,1.328042,25.858649,4.500000,12.500000,0.156130,0.070386,0.083515,19.676,0.089499,407.83,48.91,94.7,0.009260,0.990740,1,1,0.950000,0.002207,0.042834
2.213779,2769.577792,0.174313,16.809442,73.867574,35.293429,0.782469,1.098818,0.894616,8.191266,0.842264,33.194473,1.302400,1.466425,40.606759,4.500000,12.500000,0.456686,0.378038,0.211917,21.863,0.278113,454.76,292.94,105.5,0.000000,1.000000,1,1,0.950000,0.057162,0.056080
0.557052,7530.635162,0.279713,19.702823,60.104045,33.936174,0.894760,1.068262,0.879108,8.651205,0.690091,45.771420,1.520561,2.333928,36.925408,4.500000,12.500000,0.199734,0.106366,0.142135,14.292,0.165700,372.60,67.53,86.7,0.009194,0.990806,1,1,0.950000,0.003192,0.051890
0.208268,6223.981580,0.431742,20.616821,54.422501,38.216942,0.860994,1.063047,0.842146,7.365667,0.757011,49.677824,1.302400,2.073482,38.748663,4.500000,12.500000,-0.033537,0.001673,0.005555,4.760,0.010077,129.84,1.17,94.9,0.011593,0.988407,1,1,0.542857,0.646700,0.094106
0.216563,5951.366455,0.119610,22.438252,83.666158,27.978615,0.861543,1.433668,0.306829,8.495116,0.817992,39.155378,1.450826,1.539774,15.801977,4.500000,12.500000,0.026710,0.021765,0.038472,12.783,0.045588,189.28,16.38,103.2,0.000000,1.000000,1,1,0.950000,0.441383,0.071605
0.589116,3942.615210,0.225949,14.490084,81.768847,46.285531,0.788950,1.125684,0.325492,8.478987,0.767090,55.649008,1.302400,2.118158,17.451561,4.500000,12.500000,0.078524,0.129286,0.143081,25.000,0.158068,414.17,91.24,95.2,0.009237,0.990763,1,1,0.950000,0.003102,0.016057
2.366822,8067.745838,0.277277,19.494342,84.980949,46.818923,0.679052,1.106301,0.300363,8.660006,0.657239,42.523522,1.657600,1.353715,30.339155,4.500000,12.500000,0.343084,0.228456,0.435177,4.752,1.601659,220.93,138.14,82.6,0.011428,0.988572,1,1,0.678571,0.003238,0.037893
0.908008,5475.815577,0.105069,11.108556,63.367232,25.088928,0.932660,1.298241,0.078146,7.721373,0.682559,54.523553,1.330008,1.867395,18.972197,4.500000,12.500000,0.135943,0.106104,0.186748,15.603,0.462302,158.01,66.63,85.8,0.011677,0.988323,1,1,0.950000,0.461375,0.046283
0.971417,3787.923606,0.293715,10.246288,52.439042,36.381853,0.585065,1.435598,0.379243,8.156086,0.939429,41.283642,1.639916,1.326719,26.532344,4.500000,12.500000,0.061420,0.173373,0.189896,25.000,0.631606,434.76,149.84,117.6,0.012282,0.987718,1,1,0.950000,0.416882,0.043629
1.236682,7751.809736,0.169962,21.239226,74.020676,30.238977,0.553941,1.058217,0.467748,7.670423,0.780466,42.069944,1.458043,1.460348,37.499065,4.500000,12.500000,0.455143,0.315814,0.417016,14.634,0.742056,421.39,226.76,97.9,0.009142,0.990858,1,1,0.950000,0.008473,0.056327
1.040825,2658.681128,0.235468,20.431826,54.622840,23.113603,0.684639,1.249804,0.892901,8.022236,0.862231,53.668858,1.657600,2.370843,19.409625,4.500000,12.500000,0.104004,0.068722,0.088789,19.892,0.096567,465.54,54.51,107.9,0.009330,0.990670,1,1,0.950000,0.257491,0.048301
0.681254,1700.196288,0.118588,17.735643,83.536997,28.442765,0.657694,1.441678,0.607298,8.424751,0.758705,47.352179,1.302400,1.430380,23.030245,4.500000,12.500000,0.116655,0.043007,0.050094,20.928,0.094254,113.62,30.02,163.0,0.013867,0.986133,1,1,0.950000,0.029438,0.052051
1.055890,7597.064387,0.359432,20.354122,68.648196,32.868383,0.716417,1.301425,0.138139,8.503199,0.808499,54.397417,1.557016,1.549715,16.515670,4.500000,12.500000,0.359280,0.234653,0.304195,15.841,0.430417,436.53,174.54,101.3,0.006991,0.993009,1,1,0.950000,0.000142,0.037152
1.052592,1964.679183,0.376269,18.380385,52.470699,48.919676,0.634456,1.447198,0.203077,8.700923,0.883963,49.555772,1.413675,1.625840,41.901969,4.500000,12.500000,-0.001954,0.102932,0.111744,25.000,0.177586,477.27,83.71,110.6,0.007033,0.992967,1,1,0.950000,0.249468,0.020115
1.113752,4897.772868,0.442834,21.421147,52.521902,48.019601,0.761222,1.187522,0.659410,8.463811,0.854537,41.959115,1.541392,1.797106,19.972455,4.500000,12.500000,0.071720,0.130345,0.146686,25.000,0.171574,461.39,102.47,107.0,0.009135,0.990865,1,1,0.950000,0.010639,0.094158
0.228487,1996.877690,0.323531,20.081880,64.312931,20.741030,0.820260,1.310096,0.415316,8.153321,0.748574,44.885106,1.657600,2.351141,22.273019,4.500000,12.500000,0.078584,0.016412,0.021134,16.253,0.021500,404.17,11.30,93.9,0.009194,0.990806,1,1,0.950000,0.061285,0.051345
1.886564,4671.642756,0.152539,11.648972,74.753284,19.560611,0.582984,1.174887,0.405417,8.117425,0.707072,34.936419,1.518482,2.095266,39.954975,4.500000,12.500000,0.514361,0.369468,0.451089,17.812,1.229477,191.36,240.34,88.5,0.000000,1.000000,1,1,0.950000,0.004660,0.061550
2.450510,1770.012908,0.446948,11.727174,46.828821,40.579910,0.837228,1.348080,0.095106,7.931681,0.864403,35.171599,1.326019,1.863225,29.315135,4.500000,12.500000,0.119358,0.200916,0.215139,25.000,0.556350,333.37,159.78,107.9,0.000000,1.000000,1,1,0.950000,0.218851,0.041290
1.690784,4530.082298,0.305508,23.700168,69.907384,48.045429,0.612175,1.167245,0.410340,8.075484,0.763460,60.817367,1.355050,1.832227,18.408595,4.500000,12.500000,0.031932,0.052008,0.083191,4.118,0.398875,117.77,36.53,95.7,0.014120,0.985880,1,1,0.271429,0.259505,0.031930
0.700457,2961.747246,0.244689,19.601934,80.286675,30.398094,0.629703,1.274134,0.937380,7.540116,0.754927,46.171258,1.409759,1.767591,26.916782,4.500000,12.500000,-0.040033,0.011031,0.015915,5.195,0.059072,116.46,7.66,94.7,0.013828,0.986172,1,1,0.271429,0.424410,0.053845
2.695279,6491.581107,0.159562,18.542513,65.789297,49.320376,0.673814,1.250416,0.867480,8.143831,0.835193,55.252781,1.638332,2.130734,26.854002,4.500000,12.500000,0.089754,0.066331,0.160055,14.050,0.372738,178.23,50.97,104.6,0.011709,0.988291,1,1,0.950000,0.575159,0.064167
2.263391,5361.183314,0.424491,13.102732,48.812613,46.623965,0.789855,1.289008,0.109287,7.921637,0.753108,37.586368,1.635327,1.552237,32.525847,4.500000,12.500000,0.535891,0.385178,0.453761,19.736,0.995611,348.53,266.87,94.2,0.000000,1.000000,1,1,0.950000,0.000075,0.039842
1.523098,7122.195055,0.434045,11.304748,55.337336,39.975171,0.826556,1.075994,0.101549,8.048830,0.810296,60.003345,1.333466,1.823197,36.018166,4.500000,12.500000,0.424307,0.363772,0.418396,23.282,1.259123,250.00,271.18,101.5,0.013882,0.986118,1,1,0.950000,0.013205,0.021155
1.741473,4167.769369,0.286983,15.373548,65.236238,27.047861,0.821630,1.171489,0.757078,7.840988,0.819333,57.390914,1.509899,1.481560,37.671466,4.500000,12.500000,0.288808,0.178850,0.216321,18.837,0.277770,442.38,134.81,102.6,0.009367,0.990633,1,1,0.950000,0.000048,0.042466
2.299508,6550.618006,0.242563,19.854900,55.810612,23.558703,0.550018,1.025277,0.872550,8.451679,0.859939,51.444773,1.352636,1.802188,28.176882,4.500000,12.500000,0.435405,0.299969,0.363476,18.589,0.582587,464.30,237.32,107.7,0.009287,0.990713,1,1,0.950000,0.003908,0.049735
0.988123,3209.425859,0.372948,22.005405,78.241683,15.521160,0.926931,1.215108,0.837623,8.607852,0.816615,51.865359,1.373214,1.615302,42.782690,4.500000,12.500000,0.103689,0.061353,0.054743,13.210,0.058004,435.00,46.09,102.3,0.009286,0.990714,1,1,0.950000,0.193616,0.057006
2.134206,1653.928991,0.150665,15.828634,65.472949,49.947329,0.596399,1.040686,0.332861,7.990315,0.713567,51.692944,1.344910,2.377862,29.652485,4.500000,12.500000,0.107015,0.188736,0.222653,25.000,0.301348,385.27,123.90,88.2,0.009479,0.990521,1,1,0.950000,0.210886,0.035253
2.470291,6008.420485,0.370565,14.327213,71.337207,38.609315,0.892143,1.123568,0.816402,8.705932,0.755739,53.555413,1.464143,1.703185,34.157784,4.500000,12.500000,0.375532,0.250492,0.316516,16.793,0.464618,355.52,174.16,93.9,0.009295,0.990705,1,1,0.950000,0.003185,0.041385
1.850814,7442.200775,0.193917,17.497282,71.912639,41.568892,0.595238,1.431157,0.882474,8.093769,0.681376,57.265814,1.606603,1.851482,33.130386,4.500000,12.500000,0.436240,0.305418,0.397309,16.336,0.665878,367.89,191.46,85.6,0.007009,0.992991,1,1,0.950000,0.034778,0.033041
2.769205,8039.010698,0.198272,18.031087,68.757074,37.095885,0.776813,1.433857,0.341787,8.007423,0.935505,47.579870,1.657600,2.054203,41.185558,4.500000,12.500000,0.394795,0.272386,0.430199,7.119,1.589912,360.79,234.43,117.0,0.009240,0.990760,1,1,0.678571,0.003206,0.041715
1.502783,7457.078275,0.237168,11.799644,73.301458,25.425314,0.935182,1.034156,0.969085,8.616763,0.674589,48.937673,1.302400,1.498178,35.655578,4.500000,12.500000,0.387085,0.268289,0.318173,15.139,0.472725,308.30,166.51,83.4,0.009247,0.990753,1,1,0.950000,0.029651,0.045913
0.923030,7224.513313,0.342948,10.808492,82.485821,34.251846,0.576168,1.122834,0.421830,7.433966,0.633016,53.176224,1.445247,1.897668,22.774214,4.500000,12.500000,0.344492,0.267199,0.361544,20.687,0.557466,341.78,155.61,78.7,0.009333,0.990667,1,1,0.950000,0.263020,0.036351
1.119814,5671.939739,0.444150,13.938453,69.591796,27.822469,0.765595,1.254960,0.660010,8.501422,0.880681,44.212968,1.487047,1.805872,30.041559,4.500000,12.500000,0.126012,0.162560,0.123833,23.399,0.142213,438.79,131.71,105.9,0.009277,0.990723,1,1,0.950000,0.218934,0.056486
2.392316,3465.434697,0.131777,10.196947,55.075255,23.023552,0.639448,1.059969,0.150481,7.904918,0.702894,58.981767,1.547676,2.184787,29.615838,4.500000,12.500000,0.523121,0.379755,0.466974,19.957,0.889146,379.51,245.57,83.0,0.004673,0.995327,1,1,0.950000,0.040249,0.029456
0.853766,2673.543908,0.097945,20.492430,78.356141,39.827378,0.732679,1.220570,0.539682,8.571039,0.846645,35.803914,1.604258,2.072511,33.649021,4.500000,12.500000,0.158338,0.075884,0.087088,20.432,0.119661,195.91,59.11,124.0,0.000000,1.000000,1,1,0.950000,0.007392,0.078915
0.945845,6294.116977,0.368595,15.248389,66.472163,28.247010,0.938077,1.176425,0.404359,8.532908,0.860448,43.431413,1.475858,1.924901,25.280446,4.500000,12.500000,0.300104,0.204539,0.211631,17.805,0.269595,385.59,161.92,104.3,0.006871,0.993129,1,1,0.950000,0.074551,0.056405
0.734479,3854.582349,0.365379,16.062936,77.194252,18.958515,0.674323,1.165230,0.412256,8.621465,0.797915,49.746816,1.302400,1.578131,30.140669,4.500000,12.500000,0.154919,0.120165,0.111291,21.940,0.086217,424.24,88.21,134.4,0.009314,0.990686,1,1,0.950000,0.074415,0.125048
1.954319,7229.614712,0.411786,10.839926,47.466381,47.525461,0.907862,1.412350,0.508593,7.449013,0.638110,44.955015,1.511650,1.492042,29.079339,4.500000,12.500000,0.430356,0.304696,0.359947,20.637,0.680116,295.31,178.88,80.3,0.009202,0.990798,1,1,0.950000,0.030785,0.036377
2.598936,5010.084997,0.081929,18.140373,59.934783,19.830606,0.650240,1.102952,0.672086,7.444203,0.857581,43.097056,1.602448,1.317360,34.831694,4.500000,12.500000,0.264013,0.197734,0.288890,16.018,0.582474,330.74,156.01,107.4,0.009163,0.990837,1,1,0.950000,0.264007,0.057688
1.733818,6194.584441,0.259606,23.556682,84.113313,44.583742,0.608514,1.247315,0.116175,8.473238,0.813437,50.040971,1.575309,1.850805,35.637499,4.500000,12.500000,0.441734,0.299944,0.410947,13.638,0.843586,376.45,224.47,101.9,0.006951,0.993049,1,1,0.950000,0.000113,0.039065
1.639512,4378.044918,0.443880,22.076810,59.760764,43.021527,0.873756,1.448869,0.355565,8.690324,0.726268,57.589027,1.643220,2.372138,43.661004,4.500000,12.500000,0.091087,0.064357,0.103521,4.750,0.327397,155.04,43.00,91.2,0.011710,0.988290,1,1,0.407143,0.094181,0.033368
0.581813,3961.990922,0.354979,19.242267,78.816576,47.307125,0.873034,1.077016,0.679552,8.036366,0.910699,56.674149,1.524620,2.348724,44.327202,4.500000,12.500000,0.032334,0.024988,0.040158,17.451,0.046879,351.22,20.94,113.9,0.011714,0.988286,1,1,0.950000,0.493164,0.053768
1.626188,7071.523478,0.406209,12.930196,85.076535,49.605109,0.888928,1.041276,0.681192,8.697138,0.703830,59.140433,1.554384,1.970537,15.970352,4.500000,12.500000,0.344596,0.226649,0.272756,19.281,0.367069,380.02,146.76,87.6,0.009282,0.990718,1,1,0.950000,0.002740,0.035772
0.764176,5760.048731,0.398176,11.686217,62.620145,30.478004,0.664461,1.088891,0.428982,7.620730,0.669906,52.267545,1.572794,1.566727,19.935434,4.500000,12.500000,0.149828,0.204162,0.230537,25.000,0.535097,206.69,125.83,84.2,0.013958,0.986042,1,1,0.950000,0.083005,0.028362
0.981262,2529.325356,0.357695,21.748521,68.897896,32.477711,0.643058,1.012754,0.644951,8.525850,0.834648,59.539991,1.432902,2.155000,21.422965,4.500000,12.500000,0.129727,0.066469,0.077390,21.527,0.082520,450.65,51.04,104.5,0.009312,0.990688,1,1,0.950000,0.014213,0.040508
2.198118,7631.822502,0.234700,17.819255,58.041175,29.525540,0.596683,1.396289,0.338609,8.750535,0.719022,54.657968,1.313802,2.254539,32.406211,4.500000,12.500000,0.554618,0.387227,0.593297,10.662,1.485685,388.22,256.15,90.3,0.009303,0.990697,1,1,0.950000,0.000646,0.029629
2.899601,3390.809027,0.135247,13.551408,76.813841,28.532454,0.719993,1.244128,0.649145,7.867719,0.806473,42.943431,1.657600,2.203468,36.634005,4.500000,12.500000,0.406405,0.276742,0.337922,18.723,0.622501,373.23,205.33,100.8,0.009160,0.990840,1,1,0.950000,0.000016,0.055511
1.301352,2033.345400,0.111226,23.671491,56.915882,34.707497,0.686411,1.268341,0.733649,7.611112,0.888455,46.601478,1.538719,2.084837,41.444008,4.500000,12.500000,0.057930,0.046112,0.064790,18.910,0.070295,479.70,37.69,111.2,0.009226,0.990774,1,1,0.950000,0.374257,0.053840
2.320872,2348.394169,0.400792,13.692358,53.414066,19.191299,0.868079,1.110626,0.147074,8.215400,0.691556,60.035874,1.657600,1.590942,36.073268,4.500000,12.500000,0.293076,0.182879,0.233220,16.565,0.301311,373.39,116.35,86.9,0.009382,0.990618,1,1,0.950000,0.003408,0.036854
1.069467,5409.365933,0.218533,14.263784,69.024298,18.639998,0.611038,1.214117,0.473139,8.733849,0.831653,50.279628,1.574891,2.354180,16.538684,4.500000,12.500000,0.194812,0.103448,0.121925,20.718,0.199328,52.60,79.15,107.3,0.011566,0.988434,1,1,0.950000,0.005859,0.052901
0.239399,6918.433578,0.299917,12.696637,69.947135,42.985862,0.752681,1.445299,0.259215,8.715927,0.898732,60.502101,1.657600,1.696291,26.078576,4.500000,12.500000,-0.034796,0.081018,0.089098,25.000,0.139517,485.25,66.99,108.9,0.009798,0.990202,1,1,0.950000,0.288800,0.008355
