generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,ignition_ms,compression_ratio,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.493781,4229.479400,0.080000,10.000000,51.967884,31.107536,0.597664,1.450000,0.202196,8.800000,0.944600,57.291833,1.583116,2.128656,25.131184,4.600000,13.500000,0.494757,0.300432,0.797925,17.334,2.964632,428.18,261.08,141.7,0.008859,0.991141,1,1,0.950000,0.000382,0.010839
2.493781,4568.667872,0.080000,10.000000,51.967884,31.107536,0.551836,1.411231,0.154108,8.787862,0.899915,60.216077,1.618022,2.128656,30.226686,4.600000,13.500000,0.488628,0.405520,0.659723,17.334,5.656503,324.50,335.74,363.5,0.008536,0.991464,1,1,0.000000,0.121421,0.022955
2.493781,4175.930684,0.117181,10.000000,51.967884,31.107536,0.550000,1.450000,0.310188,8.386157,0.950000,58.119414,1.614454,2.128656,30.226686,4.600000,13.500000,0.535381,0.362312,0.700604,17.334,3.374303,490.73,316.66,126.8,0.009812,0.990188,1,1,0.950000,0.072781,0.012344
2.137439,3930.592032,0.122881,12.732529,51.967884,31.107536,0.550000,1.450000,0.000000,8.800000,0.950000,53.111523,1.707328,2.128656,24.664864,4.600000,13.500000,0.382872,0.268639,0.505473,17.334,1.978116,504.56,234.79,153.9,0.009721,0.990279,1,1,0.950000,0.204985,0.027713
2.493781,4165.909727,0.086177,10.000000,51.967884,26.419602,0.569044,1.450000,0.101038,8.800000,0.950000,56.192783,1.662943,2.128656,27.451089,4.600000,13.500000,0.536208,0.360030,0.694865,17.334,2.909302,491.94,314.67,129.4,0.009717,0.990283,1,1,0.950000,0.053329,0.011459
2.493781,4568.667872,0.080000,10.000000,49.212165,31.107536,0.550000,1.450000,0.197414,8.800000,0.944259,66.113303,1.600610,2.128656,30.226686,4.600000,13.500000,0.539549,0.338533,0.827153,17.334,2.918109,371.95,294.09,138.9,0.007572,0.992428,1,1,0.950000,0.000249,0.009283
2.493781,4095.048141,0.080000,10.000000,48.509062,31.107536,0.550000,1.450000,0.566982,8.800000,0.873373,58.296580,1.608700,2.128656,29.489991,4.600000,13.500000,0.421176,0.265440,0.668811,17.334,2.195999,381.37,213.28,132.2,0.009883,0.990117,1,1,0.950000,0.099552,0.000000
2.493781,1166.924097,0.205788,15.378056,48.908343,27.406326,0.779531,1.369175,0.165505,8.119216,0.719490,54.310949,1.354035,1.401865,24.592277,4.600000,13.500000,0.159558,0.136188,0.145959,17.334,1.001067,169.60,90.15,290.8,0.011753,0.988247,1,1,0.950000,0.426579,0.083411
1.652971,3127.298879,0.205966,21.740540,32.782160,24.920452,0.904100,1.348172,0.939825,8.543509,0.660150,53.612193,1.448169,1.635493,20.884779,4.600000,13.500000,0.220471,0.167149,0.182268,17.334,0.340396,363.10,101.52,234.0,0.007808,0.992192,1,1,0.950000,0.236804,0.064182
2.493781,2179.435973,0.403136,17.640963,45.507083,20.578529,0.889317,1.293754,0.525721,8.145632,0.864452,93.929767,1.404548,2.128656,20.855904,4.600000,13.500000,0.199391,0.148869,0.192341,17.334,0.370713,475.47,118.39,234.6,0.012623,0.987377,1,1,0.950000,0.287111,0.019002
