generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid
0.435756,4575.581594,0.166527,22.967210,51.690681,35.855466,8.007767,0.938824,86.119536,1.623011,1.701226,21.507378,0.021062,0.032086,0.077992,9.267,0.082922,378.01,27.71,121.4,0.011728,0.988272,0,1
0.713637,5187.339100,0.412514,21.801038,70.871850,37.358604,8.253773,0.902238,70.365686,1.395307,1.665884,18.545594,0.031735,0.056821,0.128787,8.852,0.146102,389.60,47.16,112.9,0.009445,0.990555,0,1
0.288758,6466.172388,0.406223,22.500840,80.586520,45.018956,8.188185,0.725866,84.626653,1.735732,1.936528,21.850508,0.008497,0.010232,0.066606,2.965,0.069629,109.13,6.83,92.7,0.014135,0.985865,0,1
0.419532,7490.589735,0.309934,10.971718,60.484687,21.035197,7.803576,0.798480,93.270871,1.372955,2.202984,40.762479,0.170028,0.112159,0.152868,19.222,0.179879,573.38,82.39,95.2,0.015023,0.984977,1,1
0.708681,5963.840423,0.426052,16.012455,79.790643,47.885997,8.439993,0.868235,69.568889,1.336512,2.283188,24.404921,0.048087,0.090038,0.162216,13.342,0.192344,471.66,71.92,108.7,0.011845,0.988155,0,1
0.362906,3097.232837,0.279043,11.533630,77.832864,27.549138,7.389440,0.827501,84.365665,1.313045,2.091320,29.441779,0.012791,0.012845,0.042676,9.263,0.044039,243.77,9.78,103.6,0.014001,0.985999,0,1
0.674444,7274.328076,0.113566,21.633602,55.476963,39.812675,7.665033,0.734191,89.684376,1.597647,2.329254,26.951529,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,96.6,0.014196,0.985804,0,1
0.444413,3708.448096,0.253709,11.995551,52.178942,19.083052,8.005239,0.858682,97.106092,1.683590,2.328487,28.624040,0.112133,0.060738,0.079315,20.826,0.084939,643.57,47.98,103.1,0.015033,0.984967,1,1
0.676407,3571.057143,0.151387,18.299871,55.918605,22.056601,7.759441,0.828894,95.748282,1.719636,2.219858,23.667730,0.014165,0.018590,0.067129,6.847,0.070404,224.67,14.18,105.4,0.014452,0.985548,0,1
0.192190,6450.222765,0.297840,23.109789,51.845986,33.130775,8.294140,0.663640,80.383908,1.690766,2.038739,22.063995,0.008855,0.010665,0.041259,4.827,0.041996,167.90,6.51,84.6,0.016517,0.983483,0,1
0.278383,4162.129474,0.422387,12.079397,53.597171,28.966301,7.942074,0.725409,78.004276,1.250633,1.544278,20.185932,0.016108,0.019239,0.057388,9.939,0.057878,238.01,12.84,91.0,0.014288,0.985712,0,1
0.252814,6213.067133,0.092243,21.020908,68.390932,40.426781,8.022245,0.813194,90.028517,1.410220,1.534743,34.942885,0.014472,0.020423,0.068226,6.292,0.072101,238.25,15.28,106.8,0.011869,0.988131,0,1
0.313611,4143.093511,0.437242,16.642393,72.445742,31.108915,8.233728,0.860521,48.936757,1.316059,1.511158,22.013998,0.025952,0.035660,0.048928,16.246,0.052029,613.82,28.23,107.7,0.006944,0.993056,0,1
0.255831,7142.220935,0.326611,16.104483,64.185887,30.904245,7.901325,0.705494,85.295639,1.384004,2.184022,22.697513,0.017152,0.024461,0.073117,7.811,0.076818,231.00,15.88,89.7,0.014086,0.985914,0,1
0.706064,3164.108748,0.320209,20.724923,78.186090,20.691905,8.120680,0.905830,86.490670,1.406573,1.750885,19.239574,0.036504,0.064239,0.088205,14.596,0.095289,645.67,53.53,113.3,0.013877,0.986123,0,1
0.511717,3258.716874,0.247927,18.595379,60.094385,35.059975,8.334178,0.901914,87.550712,1.361834,1.984662,35.155292,0.021907,0.032786,0.076680,10.187,0.082453,377.42,27.20,112.8,0.011942,0.988058,0,1
0.374228,2925.399429,0.249174,18.677322,75.553491,44.340754,7.885560,0.716520,92.718275,1.276560,2.256065,35.323599,0.004965,0.004165,0.032854,3.029,0.033372,88.89,2.75,91.6,0.014217,0.985783,0,1
0.472350,3546.155596,0.123699,19.504530,68.435730,26.362815,7.641949,0.873901,67.863205,1.321309,2.050033,33.335558,0.025753,0.038052,0.059202,14.136,0.063020,549.75,30.59,109.4,0.009473,0.990527,0,1
0.453846,3834.164714,0.325314,11.720286,72.668866,26.666492,7.870122,0.767060,102.616089,1.428679,2.301696,29.170288,0.034186,0.051336,0.076809,18.474,0.081126,501.76,36.23,93.6,0.012451,0.987549,0,1
0.451308,3436.350502,0.414649,13.059185,74.437205,31.483827,7.598039,0.874768,49.277959,1.662993,1.339606,33.914938,0.023059,0.032610,0.063324,12.714,0.069432,440.90,26.24,109.5,0.011585,0.988415,0,1
0.381571,7683.165981,0.424129,15.598004,53.317284,20.775873,7.353802,0.898313,98.445897,1.338495,1.461224,25.752970,0.023047,0.035053,0.099058,9.285,0.107524,311.12,28.97,113.7,0.014214,0.985786,0,1
0.355915,3177.548981,0.331721,13.394207,75.324288,22.017978,7.573990,0.761938,53.561079,1.421084,1.834605,40.384190,0.031021,0.045457,0.054749,18.211,0.059266,619.16,31.86,94.2,0.009326,0.990674,0,1
0.332791,4286.214866,0.160516,12.662766,59.582553,30.778565,7.376677,0.821699,60.014658,1.289829,1.593765,36.662330,0.043464,0.069425,0.081132,22.338,0.089808,688.17,52.48,102.0,0.007042,0.992958,0,1
0.561556,4609.265311,0.430955,23.966128,77.570178,34.508952,8.313736,0.938170,89.918749,1.531883,1.758276,20.550149,0.026501,0.044661,0.087037,10.176,0.093517,471.16,38.55,118.7,0.011689,0.988311,0,1
0.559625,3914.780779,0.211148,20.000555,71.977763,38.084715,7.916529,0.749935,81.260705,1.666210,1.795521,34.118136,0.014115,0.020072,0.081919,5.092,0.087990,179.85,13.85,95.3,0.014134,0.985866,0,1
0.205393,6023.730242,0.136786,11.464367,75.247178,23.224095,8.043776,0.930051,43.663922,1.351476,1.826472,27.370023,0.024219,0.035272,0.066148,12.839,0.073871,485.38,30.18,116.0,0.013760,0.986240,0,1
0.434057,6929.382742,0.202977,14.353435,68.579963,25.781786,8.075167,0.688713,95.170857,1.387280,1.300866,31.315405,0.062415,0.126365,0.169525,15.167,0.201628,502.45,80.07,92.1,0.013618,0.986382,0,1
0.180863,5585.040547,0.391223,19.121444,78.031048,42.841490,7.990200,0.851462,86.929685,1.272947,1.415478,18.447092,0.026298,0.034491,0.044674,17.621,0.045770,643.40,27.02,110.4,0.013698,0.986302,0,1
0.562406,7084.130270,0.228462,11.800960,55.826430,44.256385,7.608527,0.892135,48.595860,1.657185,2.307748,39.109785,0.074699,0.145606,0.233923,17.857,0.334764,543.50,119.51,111.4,0.009276,0.990724,0,1
0.633900,2672.283475,0.317685,22.015962,60.462283,41.093324,7.731184,0.822846,77.024150,1.551447,1.544975,28.283351,0.025929,0.039267,0.062647,13.586,0.065831,504.79,29.73,103.8,0.009566,0.990434,0,1
0.356928,5981.264240,0.435258,18.449809,79.273994,36.971273,8.003213,0.949992,105.753833,1.588961,1.789645,21.172754,0.105722,0.060358,0.082878,17.603,0.088180,677.14,52.75,118.8,0.015030,0.984970,1,1
0.478308,7598.363486,0.426893,21.137518,75.910532,47.383925,7.378224,0.681769,62.217226,1.380398,1.594647,32.334398,0.018074,0.006084,0.063090,2.000,0.073538,64.35,3.82,85.7,0.009419,0.990581,1,1
0.391056,7262.311324,0.333970,10.395952,79.462887,42.112713,7.796592,0.827060,104.465815,1.359953,1.502388,20.047796,0.046114,0.074686,0.139092,20.136,0.141727,434.64,56.83,103.6,0.014656,0.985344,0,1
0.191370,7638.022791,0.194169,23.035535,73.847291,32.288319,8.245092,0.910454,109.443735,1.259151,2.241589,26.506027,0.021292,0.007695,0.046059,4.081,0.043768,148.88,6.45,119.1,0.016837,0.983163,1,1
0.582402,6100.939690,0.254371,19.902219,50.579053,18.192671,8.178399,0.697227,80.939318,1.574845,1.875594,31.519721,0.030052,0.054160,0.153414,6.140,0.178751,240.91,34.74,87.6,0.014145,0.985855,0,1
0.318620,5712.270448,0.088648,20.761172,61.141322,25.675345,7.463771,0.895945,82.554994,1.692830,2.004003,33.475909,0.009179,0.009616,0.041281,5.796,0.042877,204.25,7.93,112.4,0.011904,0.988096,0,1
0.525699,5431.227047,0.330546,12.898982,62.402257,30.203259,7.948944,0.704053,103.932374,1.340377,1.824941,30.155102,0.053413,0.100506,0.143865,17.018,0.163949,481.40,65.10,88.4,0.014842,0.985158,0,1
0.454275,5021.652374,0.254937,23.850760,73.213667,43.034758,7.503834,0.871093,44.177208,1.626577,1.793818,35.195711,0.032020,0.055182,0.082252,13.024,0.091909,571.97,44.22,109.0,0.009183,0.990817,0,1
0.490447,4696.192525,0.159048,12.386274,50.076079,23.952247,7.672882,0.648286,86.220861,1.716159,1.994478,29.968928,0.038974,0.066759,0.107392,15.657,0.117273,394.43,39.82,81.5,0.015020,0.984980,0,1
0.629696,5402.860374,0.360880,17.936867,68.070826,32.997437,8.239725,0.817592,63.623788,1.705067,1.852364,35.644316,0.057050,0.112781,0.143143,16.029,0.167748,630.47,84.83,102.4,0.009405,0.990595,0,1
0.201898,4779.418764,0.448791,17.168824,61.364473,37.518026,8.181694,0.787415,69.308460,1.576181,1.697556,37.134785,0.023760,0.029679,0.040990,16.610,0.042730,558.00,21.50,98.7,0.011749,0.988251,0,1
0.428944,6156.673656,0.355619,10.191310,54.900813,24.628042,7.714275,0.940608,59.645424,1.595460,1.367926,30.395248,0.045674,0.079165,0.119032,17.857,0.152407,612.26,68.51,117.6,0.009387,0.990613,0,1
0.181384,2542.148148,0.370630,19.735276,59.723561,32.148534,8.183291,0.948117,101.719271,1.417605,2.371778,22.107470,0.043900,0.010090,0.017024,15.895,0.016457,550.01,8.80,118.5,0.014872,0.985128,1,1
0.232463,5437.066064,0.364374,14.841423,64.541949,43.725836,8.046094,0.672498,82.641391,1.604592,2.057337,30.576981,0.093259,0.049727,0.068898,17.559,0.072554,475.04,30.77,84.5,0.015023,0.984977,1,1
0.519865,4215.514950,0.100615,16.358986,58.975957,35.613235,7.422166,0.746699,100.054901,1.476027,1.694826,32.174535,0.022433,0.031275,0.067233,12.321,0.070008,339.96,21.49,93.7,0.015050,0.984950,0,1
0.679400,6637.732988,0.335731,14.588419,73.507502,22.786943,7.394491,0.930470,59.216993,1.625363,1.673695,30.479303,0.048143,0.090999,0.169238,12.359,0.207420,489.67,77.90,116.4,0.011740,0.988260,0,1
0.512422,4373.710319,0.164652,13.093201,66.455080,41.679021,8.214184,0.780079,103.147155,1.274189,1.774543,40.308983,0.051839,0.091335,0.130020,20.343,0.142194,536.33,65.55,97.0,0.014821,0.985179,0,1
0.335132,4131.837796,0.403102,16.554659,53.022395,18.589693,7.507705,0.773919,108.105147,1.530873,1.729894,26.340280,0.016737,0.019028,0.040993,11.928,0.041397,351.59,13.55,101.6,0.015038,0.984962,0,1
0.530910,5663.817043,0.388152,21.893021,74.275662,35.319647,7.924085,0.682834,56.896623,1.352523,2.052298,41.769968,0.033816,0.063412,0.114600,9.417,0.130080,369.80,39.84,85.8,0.009363,0.990637,0,1
0.689396,2234.578775,0.361635,13.856277,69.812078,40.157643,8.319489,0.708320,53.182202,1.429655,2.274214,30.020106,0.042504,0.071165,0.082797,20.006,0.090960,595.86,46.38,87.2,0.009293,0.990707,0,1
0.229720,6697.862340,0.286573,18.405395,81.941554,28.916519,8.289308,0.949105,83.499305,1.559607,2.108544,27.732427,0.033575,0.052339,0.064841,17.823,0.068882,749.81,45.70,118.7,0.013744,0.986256,0,1
0.283835,5004.026843,0.141065,16.318239,67.933431,42.553606,7.792062,0.784914,65.824640,1.590501,1.428582,38.055680,0.041403,0.069301,0.082674,19.377,0.090678,643.95,50.04,98.4,0.007068,0.992932,0,1
0.319775,2961.716873,0.234472,22.270118,76.392036,37.167100,7.836028,0.933615,89.108592,1.370783,1.951437,37.837857,0.018063,0.019521,0.031095,14.164,0.031795,573.66,16.77,118.9,0.013846,0.986154,0,1
0.667773,2362.257054,0.263716,23.804880,63.850439,23.819996,7.635611,0.839257,80.739744,1.518583,1.343122,25.841805,0.018255,0.025314,0.047773,10.521,0.049519,435.24,19.54,105.1,0.014020,0.985980,0,1
0.227995,3148.815671,0.182605,14.323920,57.585735,18.816882,7.899750,0.814184,106.687004,1.677677,1.334429,18.721924,0.024092,0.027070,0.035529,18.743,0.035887,607.15,20.28,105.0,0.015025,0.984975,0,1
0.496218,6935.261982,0.118348,20.980809,77.037773,21.563020,8.446949,0.906762,93.755694,1.602400,1.716638,24.120644,0.052991,0.105527,0.144060,13.857,0.165911,650.09,88.03,114.5,0.013797,0.986203,0,1
0.410763,6588.225742,0.360166,12.299425,63.378610,46.430236,7.741445,0.860942,56.043791,1.449237,2.265430,21.677847,0.070554,0.132067,0.148867,25.000,0.190188,747.53,104.61,101.1,0.009306,0.990694,0,1
0.696118,6347.287200,0.384509,16.480108,70.265497,41.011621,8.327641,0.766594,100.387867,1.582059,1.547671,23.419561,0.141068,0.092749,0.191381,12.236,0.213423,363.61,65.41,96.1,0.017199,0.982801,1,1
0.711901,6766.969481,0.420057,17.547152,66.959543,18.665996,8.220886,0.925504,63.202639,1.483676,1.556977,37.421787,0.061283,0.123379,0.157194,15.803,0.188316,710.96,105.05,115.7,0.009419,0.990581,0,1
0.388063,7245.068546,0.224901,10.326208,66.831328,43.623596,8.255705,0.849444,64.232426,1.739408,1.491305,31.484355,0.089291,0.178529,0.192680,25.000,0.279359,770.31,139.52,103.1,0.009339,0.990661,0,1
0.632077,3990.174424,0.192209,17.515721,71.532568,45.524256,8.212870,0.927394,48.089026,1.660775,2.381437,26.654312,0.049966,0.092137,0.126358,17.311,0.147261,661.84,78.61,116.0,0.011562,0.988438,0,1
0.234951,3605.816865,0.114504,20.292351,71.608101,39.282999,7.964452,0.841726,100.945544,1.666949,2.188075,19.686645,0.043036,0.013927,0.026108,12.990,0.025986,439.47,10.79,107.3,0.012551,0.987449,1,1
0.213692,3875.239171,0.140107,20.384877,63.457505,38.949023,7.813441,0.688443,68.840690,1.597434,2.245642,36.911654,0.005932,0.004867,0.022866,4.660,0.023325,143.43,3.08,86.5,0.011846,0.988154,0,1
0.200986,2426.085852,0.227755,20.623060,72.754208,45.843802,8.271939,0.939515,97.781500,1.736979,2.095426,24.614538,0.041907,0.011257,0.020728,14.093,0.020130,499.37,9.73,117.5,0.014388,0.985612,1,1
0.463480,7756.433274,0.348031,20.468828,79.195172,31.285982,7.767307,0.661271,99.511265,1.330118,2.024576,27.559628,0.022312,0.008449,0.069813,2.632,0.075339,78.32,5.14,87.9,0.014172,0.985828,1,1
0.614668,4967.335770,0.105390,21.290207,51.389799,37.021371,8.126048,0.915632,85.942659,1.687854,1.682586,26.082985,0.054336,0.104228,0.135471,17.002,0.154402,689.48,87.80,118.4,0.013498,0.986502,0,1
0.571505,5107.664389,0.144503,21.448988,64.627718,43.721804,7.828312,0.756223,55.037701,1.469954,1.705557,27.812502,0.045676,0.088331,0.128647,12.988,0.147654,508.18,61.45,94.9,0.004672,0.995328,0,1
0.226411,5642.734789,0.280694,18.340599,56.210424,21.703398,7.976528,0.671733,87.889949,1.417324,1.821690,18.606259,0.007004,0.007612,0.049343,3.217,0.050433,101.43,4.70,86.1,0.016570,0.983430,0,1
0.258521,4950.433987,0.300096,15.661647,63.144724,34.480131,7.694533,0.848655,71.535150,1.371903,1.856207,31.858654,0.018736,0.023899,0.055642,11.412,0.058949,356.75,18.66,106.3,0.011852,0.988148,0,1
0.506138,5390.641089,0.278542,14.088732,75.083316,18.495852,7.860035,0.936643,106.374165,1.455219,2.264054,39.438479,0.041723,0.071475,0.103432,17.442,0.114384,633.48,61.59,113.8,0.015029,0.984971,0,1
0.606444,4753.018487,0.276912,15.934398,80.171508,32.834108,8.414857,0.861749,91.519558,1.694141,2.305290,38.200864,0.049334,0.093441,0.137713,15.063,0.159300,572.27,74.08,107.8,0.012374,0.987626,0,1
0.627210,6129.447712,0.304629,20.837042,58.014972,34.280585,7.440142,0.753554,79.615864,1.620846,1.308419,20.823838,0.027172,0.046110,0.107686,9.091,0.118189,315.80,31.97,95.6,0.009554,0.990446,0,1
0.353986,6238.499746,0.320775,13.336594,79.627510,41.348730,7.920689,0.729596,99.013396,1.655748,2.071188,35.487216,0.042459,0.072977,0.105652,17.624,0.115822,493.23,48.98,90.8,0.014847,0.985153,0,1
0.308765,4066.454469,0.086425,16.214584,66.344546,23.903749,7.370221,0.706477,57.996266,1.339564,2.197273,24.319627,0.009899,0.002234,0.028294,2.107,0.029676,54.60,1.45,88.7,0.011723,0.988277,1,1
0.520298,5165.946696,0.373691,23.237870,73.055974,41.429213,7.448878,0.877206,94.324189,1.424204,2.390721,37.682070,-0.050000,0.000000,0.000000,0.000,0.000000,0.00,0.00,112.4,0.014139,0.985861,0,1
0.239508,4392.725632,0.159821,18.483195,69.197528,35.647587,7.697394,0.736373,54.881336,1.288076,1.845702,27.172937,0.020770,0.028545,0.048050,12.467,0.050519,428.15,19.34,92.4,0.011679,0.988321,0,1
0.270493,4584.023306,0.273741,18.628703,63.562116,34.273759,7.434800,0.659924,57.093039,1.297972,1.685959,34.156312,0.014439,0.017529,0.039674,9.448,0.041441,285.36,10.64,83.0,0.009369,0.990631,0,1
0.527238,3376.404172,0.327264,18.005452,66.062959,33.466916,7.456857,0.832121,76.977039,1.329805,2.001007,37.230577,0.018093,0.023085,0.052424,11.107,0.055012,358.63,17.67,104.2,0.009556,0.990444,0,1
0.617240,5513.531971,0.377554,22.823438,61.743791,34.950423,8.164822,0.923681,72.455325,1.519779,2.204997,24.295028,0.048355,0.092946,0.129705,14.460,0.147856,647.83,78.98,115.5,0.009524,0.990476,0,1
0.698943,2660.451920,0.282626,15.970892,69.270764,39.422020,7.644843,0.722272,45.158489,1.443903,2.116756,33.643499,0.033512,0.057987,0.099408,12.645,0.112997,412.36,38.53,90.7,0.006901,0.993099,0,1
0.280785,3955.280941,0.091564,20.908006,64.829887,18.936609,7.475330,0.721114,78.732019,1.265928,1.611075,32.119876,0.022474,0.007103,0.025150,6.164,0.025794,199.33,4.71,90.5,0.009541,0.990459,1,1
0.550081,3946.680217,0.355849,21.595969,51.526792,44.692922,7.829572,0.811259,66.375846,1.550103,1.457776,18.693174,0.040026,0.070639,0.097476,15.834,0.106363,575.39,52.72,101.6,0.009479,0.990521,0,1
0.432786,6847.843493,0.401467,17.255515,57.146524,30.828980,7.473423,0.636877,61.678929,1.503863,1.451214,23.099543,0.012781,0.016491,0.112538,3.009,0.125120,91.34,9.66,80.1,0.014124,0.985876,0,1
0.584842,3206.171145,0.447820,22.540109,54.854175,47.085577,7.817786,0.647130,56.310600,1.560991,1.841814,38.874060,0.010850,0.014509,0.059569,4.593,0.063487,154.26,8.64,81.4,0.011698,0.988302,0,1
0.694755,2379.254680,0.417367,22.299806,73.544668,22.348550,8.434787,0.654358,53.222657,1.281332,1.519214,31.937307,0.019602,0.032659,0.069343,7.415,0.074241,301.63,19.66,82.3,0.009313,0.990687,0,1
0.492101,4795.768724,0.434956,19.337868,65.651934,20.229499,8.263059,0.713498,84.088620,1.696116,2.154788,34.246877,0.030924,0.055611,0.101681,10.070,0.111718,381.92,36.50,89.6,0.011500,0.988500,0,1
0.218944,2315.267933,0.240856,15.673578,78.469877,45.800376,8.174083,0.716658,101.449927,1.464936,1.463225,37.555591,0.015940,0.013625,0.027194,14.372,0.024969,351.42,8.98,90.0,0.017068,0.982932,0,1
0.683202,2799.499897,0.129640,13.172286,61.519711,46.292590,7.843699,0.760758,102.277534,1.513599,1.886645,33.011548,0.028228,0.035412,0.084725,17.657,0.078717,311.21,24.79,95.4,0.014695,0.985305,0,1
0.195532,4768.029615,0.158418,21.532132,72.259004,44.216064,7.466367,0.809649,62.015871,1.491198,2.066030,23.704392,0.012545,0.002506,0.015296,4.077,0.016554,129.82,1.87,101.4,0.009417,0.990583,1,1
0.626595,4680.329107,0.439513,18.048004,65.596853,31.615588,8.361356,0.665278,52.556995,1.264186,1.973981,23.009609,0.047418,0.092810,0.125867,13.431,0.143478,480.12,56.80,83.6,0.009308,0.990692,0,1
0.448649,5360.432410,0.367457,16.772353,71.895776,28.638231,8.013126,0.805054,70.473166,1.611610,1.708980,19.323447,0.016579,0.024203,0.097425,5.537,0.107413,195.74,17.93,100.9,0.014211,0.985789,0,1
0.504566,2296.034494,0.418708,18.373844,63.239235,34.029369,7.436229,0.649012,80.885079,1.423009,1.484203,33.409873,0.011280,0.011985,0.033341,8.111,0.033879,228.34,7.16,83.4,0.014030,0.985970,0,1
0.670740,3270.978903,0.252640,20.022192,67.037215,33.364533,7.817489,0.765729,45.851151,1.706436,2.035216,23.286313,0.038490,0.070304,0.098444,13.687,0.110410,535.21,49.53,96.0,0.009213,0.990787,0,1
0.303697,7581.332662,0.387142,13.312572,50.212584,21.811283,7.747796,0.668437,70.025351,1.558559,2.361725,30.764275,0.028699,0.047485,0.105353,10.713,0.116396,294.87,29.20,84.0,0.011900,0.988100,0,1
