generator_force_scale,generator_rated_force_n,generator_spring_decouple,air_spring_reference_bar,air_spring_max_cc,air_spring_min_cc,air_spring_expansion_gain,air_spring_compression_gain,generator_adaptive_profile,exhaust_open_ms,load_fraction,frequency_hz,combustion_pressure_gain,burn_duration_ms,damping_n_s_m,score,net_efficiency,capture_fraction,max_bdc_mm,elec_per_spring,expansion_work_j,elec_energy_j,peak_pressure_bar,rgf,scavenge_efficiency,stable,energy_balance_valid,spring_recovery,ke_power_fraction,unharvested_fraction
2.385705,6482.979439,0.245220,11.329318,82.000000,20.075182,0.597298,1.000000,0.059896,8.800000,0.927457,42.000000,1.681891,1.535671,30.261688,-0.008267,0.175872,0.044925,25.000,0.134520,450.79,135.09,269.0,0.000000,1.000000,1,1,0.950000,3.780827,0.000000
2.097791,7654.713980,0.338361,10.072747,82.000000,26.718629,0.550000,1.069076,0.157836,8.800000,0.880669,49.271835,1.665126,1.539888,35.644997,-0.009133,0.159378,0.163820,25.000,0.534288,210.67,108.70,93.0,0.000000,1.000000,1,1,0.950000,3.801326,0.000000
2.550858,6813.261247,0.278189,10.000000,75.507020,20.516659,0.583349,1.054166,0.236010,8.786369,0.950000,45.048948,1.709886,1.589691,33.800880,-0.017500,0.000000,0.000000,25.000,0.000000,275.08,0.00,345.1,0.000263,0.999737,1,1,0.950000,0.000000,0.000000
2.712060,7800.000000,0.252976,10.000000,82.000000,18.013716,0.550000,1.083581,0.162656,8.800000,0.950000,43.051260,1.634939,1.544534,34.757400,-0.017500,0.000000,0.000000,25.000,0.000000,225.06,0.00,283.3,0.000000,1.000000,1,1,0.950000,0.000000,0.000000
2.420592,7163.651803,0.309758,11.891493,79.717266,19.019004,0.632348,1.067632,0.140336,8.800000,0.950000,45.823666,1.748999,1.790529,33.937005,-0.017500,0.000000,0.000000,25.000,0.000000,300.08,0.00,283.4,0.000001,0.999999,1,1,0.950000,0.000000,0.000000
2.042117,6608.975999,0.246228,12.408683,81.752529,21.691920,0.622719,1.032977,0.130259,8.800000,0.946680,45.349226,1.750000,1.706422,31.724940,-0.017500,0.000000,0.000000,25.000,0.000000,273.00,0.00,284.8,0.000009,0.999991,1,1,0.950000,0.000000,0.000000
1.851598,7800.000000,0.352305,10.000000,74.479823,23.993608,0.555626,1.049674,0.087462,8.719741,0.863601,49.572760,1.629155,1.859825,30.550057,-0.008671,0.168176,0.173021,25.000,0.355286,301.45,109.42,88.8,0.000000,1.000000,1,1,0.950000,3.745260,0.000000
3.000000,7800.000000,0.338530,10.000000,81.991417,18.000000,0.550000,1.000000,0.208209,8.733090,0.927134,42.000000,1.721494,1.703579,29.049676,-0.006605,0.207521,0.053497,25.000,0.190706,450.44,159.28,268.8,0.000000,1.000000,1,1,0.950000,3.403270,0.000000
2.934348,6714.227272,0.266300,10.436805,78.877448,26.626719,0.550000,1.000000,0.139517,8.700664,0.950000,42.000000,1.680497,1.668009,32.179456,-0.006779,0.204216,0.057743,25.000,0.157971,325.09,165.33,305.9,0.000292,0.999708,1,1,0.950000,3.448451,0.000000
2.030022,6978.189886,0.329757,11.918907,80.730142,29.046188,0.649170,1.014891,0.157341,8.800000,0.892202,45.476066,1.750000,1.592008,33.964233,-0.017500,0.000000,0.000000,25.000,0.000000,132.88,0.00,406.3,0.000226,0.999774,1,1,0.950000,0.000000,0.000000
1.900345,6386.479522,0.310074,10.047823,76.396181,20.728694,0.569726,1.000000,0.262744,8.800000,0.916276,42.000000,1.719337,1.831710,30.336069,-0.007683,0.186985,0.048878,25.000,0.172051,438.72,139.78,261.9,0.000000,1.000000,1,1,0.950000,3.603301,0.000000
2.224004,2280.277283,0.272463,22.803445,81.604066,27.470655,0.705758,1.420688,0.215391,7.918590,0.649622,60.708931,1.694373,1.581199,23.421077,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,36.0,0.011063,0.988937,0,1,0.000000,0.000000,0.000000
0.786936,5182.928045,0.203817,11.943809,50.654198,36.202516,0.890056,1.040449,0.242958,8.322470,0.872000,76.733166,1.595969,2.344554,33.707935,-0.017500,0.000000,0.000000,25.000,0.000000,102.71,0.00,267.9,0.014849,0.985151,1,1,0.950000,0.000000,0.000000
1.753767,5450.074142,0.104275,17.162171,79.349541,24.793106,0.566581,1.126614,0.322641,8.031209,0.683950,73.312260,1.681654,2.200067,37.219772,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,44.4,0.011303,0.988697,0,1,0.000000,0.000000,0.000000
1.915391,6082.071520,0.434453,17.654776,58.849399,25.768680,0.919617,1.432639,0.114258,8.249594,0.920818,65.112268,1.416269,2.120696,27.141170,-0.017500,0.000000,0.000000,24.923,0.000000,280.18,0.00,102.9,0.007949,0.992051,1,1,0.950000,0.000000,0.000000
0.864514,4276.505049,0.083228,20.776598,51.739479,18.447472,0.782238,1.052789,0.692072,7.996020,0.805614,56.544852,1.404363,2.050003,39.117266,-0.017500,0.000000,0.000000,25.000,0.000000,0.00,0.00,74.5,0.011864,0.988136,1,1,0.950000,0.000000,0.000000
1.692158,6790.333897,0.228803,11.432680,60.661000,42.630789,0.700624,1.107841,0.967306,8.002553,0.861863,90.847623,1.723575,2.163221,36.538618,-0.017500,0.000000,0.000000,25.000,0.000000,73.41,0.00,242.3,0.013552,0.986448,1,1,0.000000,0.000000,0.000000
2.339266,3332.130941,0.330058,12.569052,55.844784,19.270629,0.814903,1.390277,0.870277,7.591633,0.640230,50.271395,1.421079,1.372000,31.628785,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,33.7,0.000000,1.000000,0,1,0.000000,0.000000,0.000000
0.281935,7400.242297,0.250968,23.276181,54.262158,37.517813,0.666159,1.103799,0.601233,7.887473,0.670617,79.464253,1.343146,1.810305,41.394829,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,41.8,0.010432,0.989568,0,1,0.000000,0.000000,0.000000
1.342458,7120.439750,0.243358,10.032285,55.069223,43.845459,0.731399,1.379077,0.205792,7.831889,0.678566,100.040927,1.478819,1.897674,26.825645,-0.017500,0.000000,0.000000,18.059,0.000000,47.90,0.00,145.5,0.014502,0.985498,1,1,0.191963,0.000000,0.000000
1.511017,6034.212711,0.116889,20.395108,81.001125,20.956464,0.754114,1.352925,0.563662,7.635726,0.889579,46.292226,1.391035,2.034047,25.701135,-0.017405,0.001817,0.010000,25.000,0.003365,27.71,1.27,95.3,0.000000,1.000000,1,1,0.950000,0.656449,0.166483
2.917842,6153.010105,0.423085,19.093950,77.968246,23.129668,0.927813,1.236512,0.152418,7.813097,0.675142,75.225401,1.427315,2.065595,26.569897,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,42.3,0.006609,0.993391,0,1,0.000000,0.000000,0.000000
2.648939,6633.934612,0.398422,15.296511,59.717032,25.242109,0.638992,1.309443,0.673866,7.768867,0.923185,88.784238,1.271626,1.803145,28.213841,-0.014225,0.062377,0.154581,25.000,0.093022,193.28,47.42,118.2,0.013566,0.986434,1,1,0.950000,2.867736,0.000000
2.171923,4562.890493,0.218396,11.337471,76.598118,39.774230,0.839626,1.047264,0.444316,7.904902,0.834881,80.279249,1.547041,1.793008,38.575494,-0.008286,0.175509,0.386560,25.000,0.196241,236.46,104.92,105.7,0.011924,0.988076,1,1,0.950000,2.980166,0.000000
0.225626,6510.780230,0.437308,15.724611,65.882121,34.521686,0.834242,1.434706,0.309196,8.442926,0.720890,97.546152,1.507212,2.096689,27.638281,-0.017500,0.000000,0.000000,24.809,0.000000,23.97,0.00,84.5,0.018226,0.981774,1,1,0.950000,0.000000,0.000000
2.328386,3801.345376,0.317356,13.465340,71.426206,41.992530,0.888625,1.344916,0.775675,8.232169,0.850438,51.620063,1.488967,2.106158,30.175155,-0.017500,0.000000,0.000000,24.888,0.000000,270.88,0.00,85.6,0.000037,0.999963,1,1,0.950000,0.000000,0.000000
1.356479,3260.286120,0.257938,19.848913,71.173797,38.298697,0.582003,1.343078,0.098607,7.978988,0.794778,43.523205,1.631362,1.756613,20.320278,-0.017104,0.007539,0.026266,25.000,0.017735,105.71,3.95,71.8,0.000000,1.000000,1,1,0.950000,0.851788,0.000000
1.548919,7702.591920,0.298932,16.155886,50.943510,41.130138,0.578659,1.073059,0.053531,8.376350,0.697995,79.334822,1.325080,1.838760,22.465828,-0.017500,0.000000,0.000000,14.704,0.000000,64.43,0.00,124.9,0.010741,0.989259,1,1,0.950000,0.000000,0.000000
1.227519,5889.518901,0.375864,17.847621,77.451751,21.011774,0.807236,1.001123,0.990367,7.620940,0.894306,82.140430,1.606685,2.358900,18.069481,-0.017500,0.000000,0.000000,14.286,0.000000,0.00,0.00,96.4,0.013315,0.986685,1,1,0.877186,0.000000,0.000000
2.939032,4838.254199,0.445595,23.579172,68.384086,31.087047,0.694048,1.276543,0.068767,8.580787,0.711143,87.118590,1.361289,1.671445,21.293648,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,51.6,0.013156,0.986844,0,1,0.000000,0.000000,0.000000
1.831518,2584.941843,0.442434,22.773767,61.711104,20.208390,0.593563,1.066717,0.376317,7.798485,0.885343,91.411784,1.280428,1.426460,40.471918,-0.017500,0.000000,0.000000,18.928,0.000000,0.00,0.00,94.7,0.016201,0.983799,1,1,0.950000,0.000000,0.000000
2.762735,4612.970193,0.190109,19.594510,72.094619,28.000969,0.868193,1.059554,0.590389,7.950059,0.797679,109.893087,1.352664,2.026606,41.802399,-0.017500,0.000000,0.000000,23.470,0.000000,0.00,0.00,87.3,0.013879,0.986121,1,1,0.535288,0.000000,0.000000
2.104656,2342.501609,0.236745,21.897264,64.468503,19.608300,0.802254,1.028901,0.460956,7.866973,0.821016,81.673934,1.333467,2.305736,36.662118,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,78.3,0.012356,0.987644,0,1,0.000000,0.000000,0.000000
1.116117,5121.417909,0.130656,18.413639,80.055186,22.833960,0.633428,1.091555,0.371725,8.515174,0.759723,108.447657,1.288769,2.219719,23.817107,-0.017500,0.000000,0.000000,25.000,0.000000,0.00,0.00,78.9,0.013920,0.986080,1,1,0.950000,0.000000,0.000000
1.166605,6703.310506,0.294661,22.151026,53.687430,47.922180,0.601318,1.073599,0.422876,7.722973,0.707457,84.430765,1.707217,2.252651,22.816916,-0.017500,0.000000,0.000000,0.000,0.000000,0.00,0.00,58.1,0.012388,0.987612,0,1,0.000000,0.000000,0.000000
2.886700,4441.503899,0.321121,22.497790,56.187602,27.186017,0.779646,1.130144,0.978208,7.699701,0.858275,52.441566,1.533106,1.878248,36.282344,-0.017500,0.000000,0.000000,25.000,0.000000,0.00,0.00,87.5,0.000000,1.000000,1,1,0.950000,0.000000,0.000000
2.989617,4348.629100,0.278397,12.101535,58.706397,26.454370,0.871634,1.307515,0.279138,8.491990,0.739977,105.746039,1.434854,1.492331,24.695812,-0.017500,0.000000,0.000000,18.832,0.000000,84.79,0.00,190.6,0.015824,0.984176,1,1,0.910659,0.000000,0.000000
0.766591,7594.707518,0.369111,10.804467,81.297710,46.023300,0.861313,1.176383,0.175686,8.072067,0.926285,85.785327,1.727814,1.302246,30.725543,-0.017500,0.000000,0.000000,25.000,0.000000,212.93,0.00,116.5,0.009165,0.990835,1,1,0.950000,0.000000,0.000000
2.242185,5286.203628,0.430196,21.130881,75.661024,30.719872,0.913772,1.261486,0.836045,8.421528,0.734310,64.098650,1.737081,2.229368,38.086772,-0.017500,0.000000,0.000000,1.576,0.000000,0.00,0.00,56.9,0.008392,0.991608,1,1,0.500000,0.000000,0.000000
