tier_index,tier_label,speed_rpm,load_fraction,passed,checks_passed,checks_total,stroke_mm,peak_power_kw,core_temp_c,bearing_runout_mm,exhaust_temp_c,electric_efficiency,imep_bar,peak_pressure_bar,knock_index,peak_piston_speed_ms
0,Tier 1 (micro),1800.0,0.25,True,6,6,60.0,4.999668688767263,950.0,0.03273966134783825,741.0,0.5099662062542608,1.4538510266020597,35.500602053238296,0.5440322931770649,144.2627634525012
0,Tier 1 (micro),1800.0,0.5,True,6,6,60.0,9.999337377534518,950.0,0.03289918113007129,741.0,0.5099662062542604,2.9077020532041167,37.53758942998138,0.5593096985026381,140.84953434525812
0,Tier 1 (micro),1800.0,0.75,True,6,6,60.0,14.999006066301781,950.0,0.033106353373371734,741.0,0.5099662062542606,4.361553079806177,40.205440481103885,0.5793185813860569,137.43630523801525
0,Tier 1 (micro),1800.0,1.0,True,6,6,60.0,19.998674755069054,950.0,0.03335478492557063,741.0,0.5099662062542609,5.815404106408239,43.41856641332082,0.6034170258776839,134.02307613077218
0,Tier 1 (micro),2200.0,0.25,True,6,6,60.0,4.999668688767263,950.0,0.036532670912991776,741.0,0.5099662062542608,1.4538510266020597,35.500602053238296,0.4935272426720145,128.1774192381787
0,Tier 1 (micro),2200.0,0.5,True,6,6,60.0,9.999337377534518,950.0,0.036749535499088964,741.0,0.5099662062542604,2.9077020532041167,37.53758942998138,0.5088046479975876,125.01061682992079
0,Tier 1 (micro),2200.0,0.75,True,6,6,60.0,14.999006066301781,950.0,0.037017259877322226,741.0,0.5099662062542606,4.361553079806177,40.205440481103885,0.5288135308810065,121.843814421663
0,Tier 1 (micro),2200.0,1.0,True,6,6,60.0,19.998674755069054,950.0,0.03732972738035086,741.0,0.5099662062542609,5.815404106408239,43.41856641332082,0.5529119753726335,118.67701201340512
0,Tier 1 (micro),2600.0,0.25,True,6,6,60.0,4.999668688767263,950.0,0.040886561229900364,741.0,0.5099662062542608,1.4538510266020597,35.500602053238296,0.45856220770697953,112.81311387537443
0,Tier 1 (micro),2600.0,0.5,True,6,6,60.0,9.999337377534518,950.0,0.041205144696309925,741.0,0.5099662062542604,2.9077020532041167,37.53758942998138,0.4738396130325526,109.88399817668281
0,Tier 1 (micro),2600.0,0.75,True,6,6,60.0,14.999006066301781,950.0,0.04158141660323524,741.0,0.5099662062542606,4.361553079806177,40.205440481103885,0.49384849591597146,106.95488247799113
0,Tier 1 (micro),2600.0,1.0,True,6,6,60.0,19.998674755069054,950.0,0.042009962751912586,741.0,0.5099662062542609,5.815404106408239,43.41856641332082,0.5179469404075985,104.0257667792994
0,Tier 1 (micro),3000.0,0.25,True,6,6,60.0,4.999668688767263,950.0,0.04611960949715908,741.0,0.5099662062542608,1.4538510266020597,35.500602053238296,0.43292118206595387,98.35930192469216
0,Tier 1 (micro),3000.0,0.5,True,6,6,60.0,9.999337377534518,950.0,0.046613748636162314,741.0,0.5099662062542604,2.9077020532041167,37.53758942998138,0.448198587391527,95.64675237994571
0,Tier 1 (micro),3000.0,0.75,True,6,6,60.0,14.999006066301781,950.0,0.04718006618763627,741.0,0.5099662062542606,4.361553079806177,40.205440481103885,0.4682074702749458,92.93420283519913
0,Tier 1 (micro),3000.0,1.0,True,6,6,60.0,19.998674755069054,950.0,0.047814962106936865,741.0,0.5099662062542609,5.815404106408239,43.41856641332082,0.4923059147665728,90.22165329045252
1,Tier 2 (medium),1800.0,0.25,True,6,6,50.0,19.354519893159345,950.0,0.03480711422009278,741.0,0.4962697408502396,1.4148040857572624,32.050237211390396,0.5181545568632058,110.0306813795623
1,Tier 2 (medium),1800.0,0.5,True,6,6,50.0,38.70903978631869,950.0,0.0348506809681113,741.0,0.4962697408502396,2.8296081715145247,34.030404370217006,0.5330058105544053,105.8990706331298
1,Tier 2 (medium),1800.0,0.75,True,6,6,50.0,58.0635596794781,950.0,0.0349351780618045,741.0,0.49626974085024017,4.244412257271791,36.661611566281316,0.5527398645248877,101.7674598866971
1,Tier 2 (medium),1800.0,1.0,True,6,6,50.0,77.41807957263752,950.0,0.03504955751065647,741.0,0.49626974085024056,5.65921634302906,39.80890371781983,0.5763445556614266,97.63584914026448
1,Tier 2 (medium),2200.0,0.25,True,6,6,50.0,19.354519893159345,950.0,0.038107029869806686,741.0,0.4962697408502396,1.4148040857572624,32.050237211390396,0.4676495063581552,93.58035988130521
1,Tier 2 (medium),2200.0,0.5,True,6,6,50.0,38.70903978631869,950.0,0.038231118954128826,741.0,0.4962697408502396,2.8296081715145247,34.030404370217006,0.4825007600493548,89.92320424854852
1,Tier 2 (medium),2200.0,0.75,True,6,6,50.0,58.0635596794781,950.0,0.0384019962724311,741.0,0.49626974085024017,4.244412257271791,36.661611566281316,0.5022348140198372,86.26604861579195
1,Tier 2 (medium),2200.0,1.0,True,6,6,50.0,77.41807957263752,950.0,0.03860927352547465,741.0,0.49626974085024056,5.65921634302906,39.80890371781983,0.525839505156376,82.60889298303532
1,Tier 2 (medium),2600.0,0.25,True,6,6,50.0,19.354519893159345,950.0,0.041888240417757835,741.0,0.4962697408502396,1.4148040857572624,32.050237211390396,0.4326844713931203,79.68621736281952
1,Tier 2 (medium),2600.0,0.5,True,6,6,50.0,38.70903978631869,950.0,0.04214661947189978,741.0,0.4962697408502396,2.8296081715145247,34.030404370217006,0.4475357250843198,76.41629117350782
1,Tier 2 (medium),2600.0,0.75,True,6,6,50.0,58.0635596794781,950.0,0.042464228588330113,741.0,0.49626974085024017,4.244412257271791,36.661611566281316,0.46726977905480216,73.14636498419603
1,Tier 2 (medium),2600.0,1.0,True,6,6,50.0,77.41807957263752,950.0,0.04283249683105528,741.0,0.49626974085024056,5.65921634302906,39.80890371781983,0.4908744701913411,69.87643879488431
1,Tier 2 (medium),3000.0,0.25,True,6,6,50.0,19.354519893159345,950.0,0.04639083321157557,741.0,0.4962697408502396,1.4148040857572624,32.050237211390396,0.4070434457520946,67.81961185071856
1,Tier 2 (medium),3000.0,0.5,True,6,6,50.0,38.70903978631869,950.0,0.0468714663510396,741.0,0.4962697408502396,2.8296081715145247,34.030404370217006,0.4218946994432942,64.86775490423572
1,Tier 2 (medium),3000.0,0.75,True,6,6,50.0,58.0635596794781,950.0,0.04743746796848487,741.0,0.49626974085024017,4.244412257271791,36.661611566281316,0.44162875341377655,61.91589795775296
1,Tier 2 (medium),3000.0,1.0,True,6,6,50.0,77.41807957263752,950.0,0.048,741.0,0.49626974085024056,5.65921634302906,39.80890371781983,0.46523344455031546,58.96404101127022
2,Tier 3 (large),1800.0,0.25,True,6,6,120.0,29.15570649408058,950.0,0.042348451872612956,741.0,0.4859284415680097,1.3853223114877473,29.68691741761771,0.5004296584099106,278.8986319048894
2,Tier 3 (large),1800.0,0.5,True,6,6,120.0,58.31141298816128,950.0,0.04251640573303283,741.0,0.4859284415680107,2.7706446229754995,31.631665667727336,0.5150152702857328,274.3143951002696
2,Tier 3 (large),1800.0,0.75,True,6,6,120.0,87.4671194822418,950.0,0.042734722785531795,741.0,0.48592844156801,4.155966934463244,34.23761870809617,0.5345599180884991,269.73015829564997
2,Tier 3 (large),1800.0,1.0,True,6,6,120.0,116.62282597632243,950.0,0.04298961738494188,741.0,0.4859284415680101,5.541289245950994,37.32041774386025,0.5576809108567297,265.14592149103004
2,Tier 3 (large),2200.0,0.25,True,6,6,120.0,29.15570649408058,950.0,0.048,741.0,0.4859284415680097,1.3853223114877473,29.68691741761771,0.4499246079048601,218.99858900483534
2,Tier 3 (large),2200.0,0.5,True,6,6,120.0,58.31141298816128,950.0,0.048,741.0,0.4859284415680107,2.7706446229754995,31.631665667727336,0.4645102197806823,215.05496458978104
2,Tier 3 (large),2200.0,0.75,True,6,6,120.0,87.4671194822418,950.0,0.048,741.0,0.48592844156801,4.155966934463244,34.23761870809617,0.4840548675834486,211.1113401747265
2,Tier 3 (large),2200.0,1.0,True,6,6,120.0,116.62282597632243,950.0,0.048,741.0,0.4859284415680101,5.541289245950994,37.32041774386025,0.5071758603516792,207.1677157596723
2,Tier 3 (large),2600.0,0.25,True,6,6,120.0,29.15570649408058,950.0,0.048,741.0,0.4859284415680097,1.3853223114877473,29.68691741761771,0.4149595729398251,166.0604498671156
2,Tier 3 (large),2600.0,0.5,True,6,6,120.0,58.31141298816128,950.0,0.048,741.0,0.4859284415680107,2.7706446229754995,31.631665667727336,0.42954518481564735,162.59765060003267
